,time,inidate,number,hDate,experiment,t2m,days,day_month,base_date,forecast_date,bias,adjusted_t2m
0,0 days,2021-06-03,0,2001,1,9.337971612486353,0,06-03,2001-06-03,2001-06-03,-0.9120652841957337,10.250036896682087
1,0 days,2021-06-03,0,2002,1,16.56342455475995,0,06-03,2002-06-03,2002-06-03,-0.9120652841957337,17.475489838955685
2,0 days,2021-06-03,0,2003,1,15.703191885083074,0,06-03,2003-06-03,2003-06-03,-0.9120652841957337,16.615257169278806
3,0 days,2021-06-03,0,2004,1,19.400732488100576,0,06-03,2004-06-03,2004-06-03,-0.9120652841957337,20.31279777229631
4,0 days,2021-06-03,0,2005,1,14.747257532816976,0,06-03,2005-06-03,2005-06-03,-0.9120652841957337,15.65932281701271
5,0 days,2021-06-03,0,2006,1,15.191971773114199,0,06-03,2006-06-03,2006-06-03,-0.9120652841957337,16.10403705730993
6,0 days,2021-06-03,0,2007,1,26.6466526145323,0,06-03,2007-06-03,2007-06-03,-0.9120652841957337,27.558717898728034
7,0 days,2021-06-03,0,2008,1,12.923298077520936,0,06-03,2008-06-03,2008-06-03,-0.9120652841957337,13.83536336171667
8,0 days,2021-06-03,0,2009,1,22.678190718882348,0,06-03,2009-06-03,2009-06-03,-0.9120652841957337,23.590256003078082
9,0 days,2021-06-03,0,2010,1,12.32765879026467,0,06-03,2010-06-03,2010-06-03,-0.9120652841957337,13.239724074460403
10,0 days,2021-06-03,0,2011,1,12.195163330049885,0,06-03,2011-06-03,2011-06-03,-0.9120652841957337,13.107228614245619
11,0 days,2021-06-03,0,2012,1,13.106141468428586,0,06-03,2012-06-03,2012-06-03,-0.9120652841957337,14.01820675262432
12,0 days,2021-06-03,0,2013,1,15.274935029979174,0,06-03,2013-06-03,2013-06-03,-0.9120652841957337,16.18700031417491
13,0 days,2021-06-03,0,2014,1,19.73754699642551,0,06-03,2014-06-03,2014-06-03,-0.9120652841957337,20.649612280621245
14,0 days,2021-06-03,0,2015,1,12.968715504336474,0,06-03,2015-06-03,2015-06-03,-0.9120652841957337,13.880780788532208
15,0 days,2021-06-03,0,2016,1,17.971092876927322,0,06-03,2016-06-03,2016-06-03,-0.9120652841957337,18.883158161123056
16,0 days,2021-06-03,0,2017,1,17.603666220968925,0,06-03,2017-06-03,2017-06-03,-0.9120652841957337,18.51573150516466
17,0 days,2021-06-03,0,2018,1,19.26561430959293,0,06-03,2018-06-03,2018-06-03,-0.9120652841957337,20.177679593788664
18,0 days,2021-06-03,0,2019,1,21.96261025615304,0,06-03,2019-06-03,2019-06-03,-0.9120652841957337,22.874675540348775
19,0 days,2021-06-03,0,2020,1,14.651739991210258,0,06-03,2020-06-03,2020-06-03,-0.9120652841957337,15.563805275405992
20,0 days,2021-06-03,1,2001,1,9.462200127061276,0,06-03,2001-06-03,2001-06-03,-0.9120652841957337,10.37426541125701
21,0 days,2021-06-03,1,2002,1,16.62543888842074,0,06-03,2002-06-03,2002-06-03,-0.9120652841957337,17.537504172616472
22,0 days,2021-06-03,1,2003,1,15.691171378037463,0,06-03,2003-06-03,2003-06-03,-0.9120652841957337,16.603236662233197
23,0 days,2021-06-03,1,2004,1,19.285926621129956,0,06-03,2004-06-03,2004-06-03,-0.9120652841957337,20.19799190532569
24,0 days,2021-06-03,1,2005,1,14.770229967716991,0,06-03,2005-06-03,2005-06-03,-0.9120652841957337,15.682295251912725
25,0 days,2021-06-03,1,2006,1,15.395053698587896,0,06-03,2006-06-03,2006-06-03,-0.9120652841957337,16.307118982783628
26,0 days,2021-06-03,1,2007,1,26.585988843389945,0,06-03,2007-06-03,2007-06-03,-0.9120652841957337,27.49805412758568
27,0 days,2021-06-03,1,2008,1,12.622064530504712,0,06-03,2008-06-03,2008-06-03,-0.9120652841957337,13.534129814700446
28,0 days,2021-06-03,1,2009,1,22.782447306145837,0,06-03,2009-06-03,2009-06-03,-0.9120652841957337,23.69451259034157
29,0 days,2021-06-03,1,2010,1,12.35198953353584,0,06-03,2010-06-03,2010-06-03,-0.9120652841957337,13.264054817731573
30,0 days,2021-06-03,1,2011,1,12.246599768323234,0,06-03,2011-06-03,2011-06-03,-0.9120652841957337,13.158665052518968
31,0 days,2021-06-03,1,2012,1,13.168271842652832,0,06-03,2012-06-03,2012-06-03,-0.9120652841957337,14.080337126848566
32,0 days,2021-06-03,1,2013,1,15.50599726743463,0,06-03,2013-06-03,2013-06-03,-0.9120652841957337,16.418062551630364
33,0 days,2021-06-03,1,2014,1,19.768443125208012,0,06-03,2014-06-03,2014-06-03,-0.9120652841957337,20.680508409403746
34,0 days,2021-06-03,1,2015,1,13.256360392727078,0,06-03,2015-06-03,2015-06-03,-0.9120652841957337,14.168425676922812
35,0 days,2021-06-03,1,2016,1,18.08568605395339,0,06-03,2016-06-03,2016-06-03,-0.9120652841957337,18.997751338149122
36,0 days,2021-06-03,1,2017,1,17.81125546660887,0,06-03,2017-06-03,2017-06-03,-0.9120652841957337,18.723320750804604
37,0 days,2021-06-03,1,2018,1,19.510914348582357,0,06-03,2018-06-03,2018-06-03,-0.9120652841957337,20.42297963277809
38,0 days,2021-06-03,1,2019,1,22.06678840997467,0,06-03,2019-06-03,2019-06-03,-0.9120652841957337,22.978853694170404
39,0 days,2021-06-03,1,2020,1,14.5350810889667,0,06-03,2020-06-03,2020-06-03,-0.9120652841957337,15.447146373162434
40,0 days,2021-06-03,2,2001,1,9.58461474226889,0,06-03,2001-06-03,2001-06-03,-0.9120652841957337,10.496680026464624
41,0 days,2021-06-03,2,2002,1,16.540413069866606,0,06-03,2002-06-03,2002-06-03,-0.9120652841957337,17.45247835406234
42,0 days,2021-06-03,2,2003,1,15.888051256081827,0,06-03,2003-06-03,2003-06-03,-0.9120652841957337,16.80011654027756
43,0 days,2021-06-03,2,2004,1,19.422522932597595,0,06-03,2004-06-03,2004-06-03,-0.9120652841957337,20.33458821679333
44,0 days,2021-06-03,2,2005,1,14.778759428921964,0,06-03,2005-06-03,2005-06-03,-0.9120652841957337,15.690824713117697
45,0 days,2021-06-03,2,2006,1,14.995206337697752,0,06-03,2006-06-03,2006-06-03,-0.9120652841957337,15.907271621893486
46,0 days,2021-06-03,2,2007,1,26.60478167313761,0,06-03,2007-06-03,2007-06-03,-0.9120652841957337,27.516846957333343
47,0 days,2021-06-03,2,2008,1,13.153552559401637,0,06-03,2008-06-03,2008-06-03,-0.9120652841957337,14.065617843597371
48,0 days,2021-06-03,2,2009,1,22.726526901592514,0,06-03,2009-06-03,2009-06-03,-0.9120652841957337,23.638592185788248
49,0 days,2021-06-03,2,2010,1,12.285752758905488,0,06-03,2010-06-03,2010-06-03,-0.9120652841957337,13.197818043101222
50,0 days,2021-06-03,2,2011,1,12.111313351918588,0,06-03,2011-06-03,2011-06-03,-0.9120652841957337,13.023378636114321
51,0 days,2021-06-03,2,2012,1,13.204793685637455,0,06-03,2012-06-03,2012-06-03,-0.9120652841957337,14.116858969833189
52,0 days,2021-06-03,2,2013,1,15.053935823571132,0,06-03,2013-06-03,2013-06-03,-0.9120652841957337,15.966001107766866
53,0 days,2021-06-03,2,2014,1,19.74387880695304,0,06-03,2014-06-03,2014-06-03,-0.9120652841957337,20.655944091148775
54,0 days,2021-06-03,2,2015,1,12.730878573418119,0,06-03,2015-06-03,2015-06-03,-0.9120652841957337,13.642943857613853
55,0 days,2021-06-03,2,2016,1,17.89959955979512,0,06-03,2016-06-03,2016-06-03,-0.9120652841957337,18.811664843990854
56,0 days,2021-06-03,2,2017,1,17.506911191864848,0,06-03,2017-06-03,2017-06-03,-0.9120652841957337,18.418976476060582
57,0 days,2021-06-03,2,2018,1,19.208693921035845,0,06-03,2018-06-03,2018-06-03,-0.9120652841957337,20.12075920523158
58,0 days,2021-06-03,2,2019,1,21.855823374179266,0,06-03,2019-06-03,2019-06-03,-0.9120652841957337,22.767888658375
